df,alpha,1,2,3,4,5,6,7,8,9,10,12,15,20,24,30,40,60,120
1,0.1,39.86346,49.5,53.59324,55.83296,57.24008,58.20442,58.90595,59.43898,59.85759,60.19498,60.70521,61.22034,61.74029,62.00205,62.26497,62.52905,62.79428,63.06064
1,0.05,161.4476,199.5,215.7073,224.5832,230.1619,233.986,236.7684,238.8827,240.5433,241.8817,243.906,245.9499,248.0131,249.0518,250.0951,251.1432,252.1957,253.2529
1,0.025,647.789,799.5,864.163,899.5833,921.8479,937.1111,948.2169,956.6562,963.2846,968.6274,976.7079,984.8668,993.1028,997.2492,1001.414,1005.598,1009.8,1014.02
1,0.01,4052.181,4999.5,5403.352,5624.583,5763.65,5858.986,5928.356,5981.07,6022.473,6055.847,6106.321,6157.285,6208.73,6234.631,6260.649,6286.782,6313.03,6339.391
1,0.005,16210.7227,19999.5,21614.7414,22499.5833,23055.7982,23437.1111,23714.5658,23925.4062,24091.0041,24224.4868,24426.3662,24630.2051,24835.9709,24939.5653,25043.6277,25148.1532,25253.1369,25358.5734
1,0.001,405284.1,499999.5,540379.2,562499.6,576404.6,585937.1,592873.3,598144.2,602284,605621,610667.8,615763.7,620907.7,623497.5,626099,628712,631336.6,633972.4
2,0.1,8.52632,9,9.16179,9.24342,9.29263,9.32553,9.34908,9.36677,9.38054,9.39157,9.40813,9.42471,9.44131,9.44962,9.45793,9.46624,9.47456,9.48289
2,0.05,18.5128,19,19.1643,19.2468,19.2964,19.3295,19.3532,19.371,19.3848,19.3959,19.4125,19.4291,19.4458,19.4541,19.4624,19.4707,19.4791,19.4874
2,0.025,38.5063,39,39.1655,39.2484,39.2982,39.3315,39.3552,39.373,39.3869,39.398,39.4146,39.4313,39.4479,39.4562,39.465,39.473,39.481,39.49
2,0.01,98.503,99,99.166,99.249,99.299,99.333,99.356,99.374,99.388,99.399,99.416,99.433,99.449,99.458,99.466,99.474,99.482,99.491
2,0.005,198.5013,199.0,199.1664,199.2497,199.2997,199.333,199.3568,199.3746,199.3885,199.3996,199.4163,199.4329,199.4496,199.4579,199.4663,199.4746,199.4829,199.4912
2,0.001,998.5003,999,999.1666,999.2499,999.2999,999.3333,999.3571,999.3749,999.3888,999.3999,999.4166,999.4333,999.4499,999.4583,999.4666,999.4749,999.4833,999.4916
3,0.1,5.53832,5.46238,5.39077,5.34264,5.30916,5.28473,5.26619,5.25167,5.24,5.23041,5.21562,5.20031,5.18448,5.17636,5.16811,5.15972,5.15119,5.14251
3,0.05,10.128,9.5521,9.2766,9.1172,9.0135,8.9406,8.8867,8.8452,8.8123,8.7855,8.7446,8.7029,8.6602,8.6385,8.6166,8.5944,8.572,8.5494
3,0.025,17.4434,16.0441,15.4392,15.101,14.8848,14.7347,14.6244,14.5399,14.4731,14.4189,14.3366,14.2527,14.1674,14.1241,14.081,14.037,13.992,13.947
3,0.01,34.116,30.817,29.457,28.71,28.237,27.911,27.672,27.489,27.345,27.229,27.052,26.872,26.69,26.598,26.505,26.411,26.316,26.221
3,0.005,55.552,49.7993,47.4672,46.1946,45.3916,44.8385,44.4341,44.1256,43.8824,43.6858,43.3874,43.0847,42.7775,42.6222,42.4658,42.3082,42.1494,41.9895
